t,mtd
-11.107011070110689,49.493700342408765
-9.630996309963095,50.733685715235474
-8.523985239852394,51.25826933945008
-7.785977859778598,51.78817193577336
-7.0479704797048015,52.67843489245698
-6.309963099630978,54.109238389681146
-4.833948339483398,54.988863402147494
-4.0959409594095755,55.698946178650935
-3.3579335793357785,56.58920913533457
-2.435424354243537,56.93627206542332
-2.066420664206646,58.01203417439575
-1.3284132841328216,59.26265749143975
-0.40590405904058,59.06917988098797
0.33210332103321605,57.797280675509434
0.8856088560885809,56.70822113626538
1.2546125461254718,55.081280542535104
1.8081180811808224,53.812040823110884
2.1771217712177133,53.26618131046168
2.9151291512915094,52.3546424653435
3.2841328413284145,50.547521691433055
3.8376383763837794,49.09810179182867
4.20664206642067,47.65134137827857
5.313653136531372,47.094843921412114
6.789667896678977,46.35284731225684
8.081180811808125,45.433330008975666
8.819188191881935,44.5217911638575
9.372693726937273,43.79309198497381
10.479704797047972,42.69605398756679
11.402214022140226,41.24131511585377
13.06273062730628,40.49665902064415
14.723247232472332,40.29254346597509
16.014760147601482,40.45410724377503
17.490774907749085,40.613011535520656
18.782287822878246,40.59439513314041
19.52029520295204,40.22339682856278
20.62730627306273,40.20743991223685
21.18081180811808,40.55982181443426
22.10332103321033,41.0870649247032
23.57933579335793,41.96668993716955
24.317343173431734,42.4965925334928
25.239852398523997,43.384196004122096
25.97785977859779,44.09427878062554
26.90036900369005,44.80170207107468
28.007380073800746,45.68664605564965
28.376383763837644,46.40204780426176
29.298892988929893,47.28965127489104
30.22140221402215,47.99707456534016
31.14391143911439,48.7044978557893
31.697416974169755,49.056879757986685
32.25092250922509,49.94980220072463
32.80442804428045,50.662544463282394
33.17343173431735,51.558126392074655
33.17343173431735,51.91848675243503
33.35793357933579,52.63654798710142
33.91143911439113,53.16911006947901
34.095940959409596,53.526810943785065
34.833948339483406,54.41707390046869
35.202952029520304,54.7721152887204
36.12546125461253,56.020079119710076
36.678966789667896,56.55264120208764
37.23247232472326,57.44556364482558
37.601476014760145,57.8006050330773
37.7859778597786,58.69884644792389
38.339483394833934,59.59176889066184
38.8929889298893,59.763970612679046
